Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2016-12-10,MFP iOS calorie adjustment,Cardio,184.0,1,,,,,
2016-12-11,MFP iOS calorie adjustment,Cardio,9.0,1,,,,,
2016-12-12,MFP iOS calorie adjustment,Cardio,57.0,1,,,,,
2016-12-13,MFP iOS calorie adjustment,Cardio,43.0,1,,,,,
2016-12-14,MFP iOS calorie adjustment,Cardio,56.0,1,,,,,
2016-12-15,MFP iOS calorie adjustment,Cardio,50.0,1,,,,,
2016-12-16,MFP iOS calorie adjustment,Cardio,131.0,1,,,,,
2016-12-17,MFP iOS calorie adjustment,Cardio,33.0,1,,,,,
2016-12-18,MFP iOS calorie adjustment,Cardio,96.0,1,,,,,
2016-12-19,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2016-12-20,MFP iOS calorie adjustment,Cardio,41.0,1,,,,,
2016-12-21,MFP iOS calorie adjustment,Cardio,118.0,1,,,,,
2016-12-22,MFP iOS calorie adjustment,Cardio,60.0,1,,,,,
2016-12-23,MFP iOS calorie adjustment,Cardio,27.0,1,,,,,
2016-12-24,MFP iOS calorie adjustment,Cardio,70.0,1,,,,,
2016-12-25,MFP iOS calorie adjustment,Cardio,2.0,1,,,,,
2016-12-26,MFP iOS calorie adjustment,Cardio,8.0,1,,,,,
2016-12-27,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2016-12-28,"Bench (Chest) Press, Machine",Strength,,,3,10,135.0,,
2016-12-28,MFP iOS calorie adjustment,Cardio,52.0,1,,,,,
2016-12-28,"Running (jogging), 7 mph (8.5 min mile)",Cardio,193.0,12,,,,,
2016-12-29,MFP iOS calorie adjustment,Cardio,67.0,1,,,,,
2016-12-30,MFP iOS calorie adjustment,Cardio,32.0,1,,,,,
2016-12-31,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2017-01-01,MFP iOS calorie adjustment,Cardio,89.0,1,,,,,
2017-01-02,MFP iOS calorie adjustment,Cardio,30.0,1,,,,,
2017-01-03,MFP iOS calorie adjustment,Cardio,52.0,1,,,,,
2017-01-04,MFP iOS calorie adjustment,Cardio,70.0,1,,,,,
2017-01-05,MFP iOS calorie adjustment,Cardio,58.0,1,,,,,
2017-01-06,MFP iOS calorie adjustment,Cardio,155.0,1,,,,,
2017-01-07,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2017-01-08,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2017-01-09,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2017-01-10,MFP iOS calorie adjustment,Cardio,100.0,1,,,,,
2017-01-11,MFP iOS calorie adjustment,Cardio,95.0,1,,,,,
2017-01-12,MFP iOS calorie adjustment,Cardio,92.0,1,,,,,
2017-01-13,MFP iOS calorie adjustment,Cardio,137.0,1,,,,,
2017-01-14,MFP iOS calorie adjustment,Cardio,44.0,1,,,,,
2017-01-15,MFP iOS calorie adjustment,Cardio,42.0,1,,,,,
2017-01-16,MFP iOS calorie adjustment,Cardio,58.0,1,,,,,
2017-01-17,MFP iOS calorie adjustment,Cardio,41.0,1,,,,,
2017-01-18,MFP iOS calorie adjustment,Cardio,79.0,1,,,,,
2017-01-19,MFP iOS calorie adjustment,Cardio,56.0,1,,,,,
2017-01-20,MFP iOS calorie adjustment,Cardio,85.0,1,,,,,
2017-01-21,MFP iOS calorie adjustment,Cardio,25.0,1,,,,,
2017-01-22,MFP iOS calorie adjustment,Cardio,5.0,1,,,,,
2017-01-23,MFP iOS calorie adjustment,Cardio,58.0,1,,,,,
2017-01-24,MFP iOS calorie adjustment,Cardio,45.0,1,,,,,
2017-01-25,MFP iOS calorie adjustment,Cardio,68.0,1,,,,,
2017-01-26,MFP iOS calorie adjustment,Cardio,56.0,1,,,,,
